id,title,author,available,isbn13,price,format,publisher,pubdate,subjects,pages,overview
11,Land Apart: A South African Reader,Various,1,9780140100044,$12.71,Paperback,Penguin Group (USA),June 1987,African Literature Anthologies,256,
12,Women Writing Africa: The Eastern Region,Amandina Lihamba,1,9781558615342,$29.95,Paperback,"Feminist Press at CUNY, The",February 2007,"Social Sciences, Women's Studies",,
13,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,1,9780795701849,$22.13,Paperback,NB Publishers,March 2010,"Places - Literary Anthologies, African Literature Anthologies",192,"While numerous texts have dealt with the AIDS pandemic in Africa from the clinical, economic, and sociological to the academic and technical this anthology of poems and short stories connects on a human level and reflects an entire society dealing with the challenges of overcoming AIDS and HIV. Well-known writers such as Achmat Dangor, Dambudzo Marechera, and Sindiwe Magona join 16 new writers selected from the ""Share Your Story about HIV/AIDS"" creative writing competition funded by the Swedish donor foundation, SIDA, and conducted in collaboration with the University of Cape Town. Their intimate stories and poems explore love, sexuality, stigma, and loss, bearing witness to the disease and responding to its silent taboo."
14,Step into a World: A Global Anthology of the New Black Literature,Kevin Powell,1,9780471380603,$26.31,Hardcover,"Wiley, John & Sons, Incorporated",October 2000,"Peoples & Cultures - American Anthologies, Literature Anthologies - General & Miscellaneous, African Literature Anthologies, African Diaspora (outside U.S.) - General & Miscellaneous, English & Irish Literature Anthologies",496," Step Into A World</p>
 ""Kevin Powell is pushing to bring, as he has so brilliantly done before, the voices of his generation: the concerns, the cares, the fears, and the fearlessness. Step into a World is a kaleidoscope into the world not bound by artificial constructs like nation. John Coltrane recorded ‘Giant Steps,’ which is a riff on the sight and sounds in his muse. Powell plays the computer with equal astuteness."" Nikki Giovanni</p>
 ""Those of us who pay attention were aware that the younger generation of black writers was being smothered by the anointment of talented tenth Divas and Divuses, and their commercial accommodationist ‘Fourth Renaissance. ’This anthology is indeed a breakthrough! It combines the boldness and daring of hip-hop with the intellectual keenness of a Michele Wallace or a Clyde Taylor."" Ishmael Reed</p>
 ""In a culture where videos, the Internet, and other high-tech communication is being consumed like the latest mind-altering drug, how does great literature grow and survive? These writers will answer that all-important question. This anthology provides a clue, a hint, as to where we might be going. They are resisting all this vacant, empty-minded nothingness. Read them. Listen to them. If you don’t, you do so at your peril."" Quincy Troupe</p>"
15,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,1,9780814781432,,Hardcover,New York University Press,February 2004,Language Arts &amp; Disciplines,,
16,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,1,9781906523145,$16.24,Paperback,New Internationalist,July 2009,"Short Story Anthologies, African Fiction, African Literature Anthologies",214," <b>The Caine Prize for African Writing</b> is Africa’s leading literary prize and is awarded to a short story by an African writer published in English, whether in Africa or elsewhere. This edition collects the five 2009 shortlisted stories, along with twelve stories written at the Caine Prize Writers’ Workshop, taking place in spring 2009.</p>
 Previous winners and entrants include Segun Afolabi, Leila Aboulela, Chimamanda Ngozi Adichie, Brian Chikwava, Henrietta Rose-Innes, Mary Watson, and Binyavanga Wainaina.</p>
 The collection will be released in time for the announcement of the award in July 2009.</p>
 <b>This year's shortlist:</b></p>
 *&nbsp; <b>Mamle Kabu</b> (Ghana), 'The End of Skill from Dreams,' from <i>Miracles and Jazz</i>, published by Picador Africa, Johannesburg 2008</p>
 * <b>Parselelo Kantai</b> (Kenya), 'You Wreck Her,' from the <i>St Petersburg Review</i>, NY 2008</p>
 * <b>Alistair Morgan</b> (South Africa), 'Icebergs,' from <i>The Paris Review</i> no.<br>
183, NY 2008</p>
 * <b>EC Osondu</b> (Nigeria), 'Waiting,' from <i>Guernicamag.com</i>, October 2008</p>
 * <b>Mukoma wa Ngugi</b> (Kenya), 'How Kamau wa Mwangi Escaped into Exile,' from <i>Wasafiri</i> No54, Summer 2008, London</p>"
17,"Traditions in World Literature: Literature of Africa, Softcover Student Edition",McGraw-Hill,1,9780844212029,$7.55,Paperback,Glencoe/McGraw-Hill,January 1999,Anthologies,320,
18,Love Child,Gcina Mhlophe,1,9781869140014,$8.97,Paperback,University Of KwaZulu-Natal Press,March 2002,African Literature Anthologies,124," Gcina Mhlophe is a poet, playwright, performer and South Africa's favorite storyteller. In this fascinating retrospective collection, she shares her personal journey through the social and political landscapes of the 1980s, with its recollected moments of struggle and transformation along the way. Written in a variety of styles and voices, ranging from anecdotal memory to historical moment to folklore tradition, these simply presented poems and stories are by turns funny, touching, chilling, thought-provoking and absorbing. Love Child is a collection for the new millennium generation. It is valuable not just for the deeply-felt personal and political insights it has to offer, but for the accessible ease with which it manages to capture the seminal moments of black South African history in the preserving amber of the author's personal recollection.</p>"
19,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,1,9781770091450,$25.13,Paperback,Jacana Media,June 2006,"Short Story Anthologies, African Fiction, African Literature Anthologies",228," The 2004 winner of the Caine Prize for African Writing, Brian Chikwava's ""Seventh Street Alchemy"" is featured alongside shortlisted stories from 2004, compositions from the Caine Prize's March 2005 Workshop for African Writers, and Charles Mungoshi's previously unpublished ""Letter from a Friend"" in this inspired collection of work from some of Africa's most promising young and new writers.<br>
</p>"
20,Women Writing Africa: The Southern Region: Volume 1,Sheila Meintjes,1,9781558614062,$1.99,Library Binding,"Feminist Press at CUNY, The",December 2002,"Places - Literary Anthologies, African Literature Anthologies, General & Miscellaneous African History, Women's History - Africa, Sub-Saharan",560," A landmark in scholarship and culture, this volume uncovers the stunning literary legacy of African women, heretofore all but invisible.</p>
 Beginning with a Sesotho women’s lament song from 1842, this volume brings together poetry, songs, newspaper columns, political petitions, personal letters, and prison diaries, along with little-known works by writers such as Bessie Head, Doris Lessing, Yvonne Vera, Zoë Wicomb, and Nadine Gordimer. Each of the 120 texts in the volume is accompanied by a scholarly note that provides detailed background information, while an introductory essay sets the broader historical stage. Approximately one third of the texts are oral in origin, and few have previously been available in book form.</p>"
21,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,ValZrie Orlando,1,9780739105627,$82.00,Hardcover,The Rowman & Littlefield Publishing Group Inc,December 2002,"Caribbean Fiction & Prose Literature - Literary Criticism, African Literature Anthologies, Psychology & Literature",218," Female characters who suffer madness and insanity are strikingly prominent in novels by women writers of Africa and the Caribbean. To find out why there are so many ""suffocated hearts and tortured souls"" in this literature, Valerie Orlando, who has long studied Francophone text and culture, here closely reads the work of Aminata Sow Fall, Mariama Bâ, Myrian Warner-Vieyra, and Simone Schwarz-Bart, among others. In these women's novels, Orlando finds, madness is the manifestation of a split identity, and in this study she sets herself the task of interrogating the nature of that identity. Francophone women novelists of Africa and the Caribbean—though they come from countries whose unique experiences of colonialism, revolution, and postcolonial regimes have shaped specific and discrete cultures—express a common search for a meaningful relationship between their experience as women to the history and destiny of their nations. Only when ""woman""' is understood not as an ahistorical object but as a subject whose lived body is entwined with political, cultural, and economic structures, Orlando argues, will insanity finally give way to clarity of being. Interweaving literary citations with theoretical discussion, Suffocated Hearts and Tortured Souls is just as much a masterful explication of profoundly affecting literary work as it is an essential addition to feminist scholarship and theory.</p>"
22,Less Than One and Double: A Feminist Reading of African Women's Writing,Kenneth W. Harrow,1,9780325070254,$116.43,Hardcover,Heinemann,November 2001,"Literary Criticism - General & Miscellaneous, General & Miscellaneous African Literature - Literary Criticism, Women Authors - General & Miscellaneous - Literary Criticism, African Literature Anthologies",384,"Harrow's provocative book introduces a psychoanalytic dimension to the study of African women's writing. In so doing, he opens up relatively uncharted terrain in African literary studies."
23,The Rienner Anthology of African Literature,Anthonia C. Kalu,1,9781588264916,$30.39,Library Binding,"Lynne Rienner Publishers, Inc.",April 2007,African Literature Anthologies,900,
24,Oral and Written Expressions of African Cultures,Toyin Falola,1,9781594606472,$26.88,Paperback,Carolina Academic Press,March 2009,"Africa - Anthropology & Sociology, Oral Tradition & Storytelling, African Literature Anthologies",264," Oral and Written Expressions of African Cultures challenges the traditional view of exotic and atavistic Africa with a balanced examination of the continent's realities and challenges. It shows how oral and written expressions capture the complexity, concerns, dynamism, challenges and ingenuity of African masses. It brings together twelve scholars from different academic backgrounds who draw from the rich repertoire of music, poetry, literature and the media in the continent to unearth the underlying socio-cultural, economic and political factors that shape African societies in the twenty first century. These scholars discuss issues ranging from political manipulations of popular music in Kenya and Argentina, the role of print media in the democratization process in Nigeria, motivations of ""vulgar poetry"" in South Africa, contemporary gender issues in the Islamic Republic of Sudan, the perseverance of aspects of African cultures in Puerto Rico, misrepresentations of Africa in Rene Maran's Batouala, the function of ""lowbrow fiction"" in Apartheid South Africa, female African authors' techniques to counter male dominance, to HIV/AID and the cultural taboos associated with the disease in southern Africa, among others.</p>"
25,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,1,9781904456735,$16.18,Paperback,New Internationalist,July 2008,"Short Story Anthologies, African Fiction, African Literature Anthologies",214," The Caine Prize for African Writing is Africa’s leading literary prize and is awarded to a short story by an African writer published in English, whether in Africa or elsewhere. Each year, the full shortlist and twelve other stories are collected and published in one volume.</p>
 This year’s winner is Monica Arac de Nyeko for <i>Jambula Tree</i>, described as “a witty and touching portrait of a community which is affected forever by a love which blossoms between two adolescents.”</p>
 Previous winners and entrants include Segun Afolabi, Leila Aboulela, Chimamanda Ngozi Adichie, Brian Chikwava, Mary Watson, and Binyavanga Wainaina.</p>"
26,Up the Down Escalator,Linda Rode,1,9780795701061,$10.95,Paperback,NB Publishers,March 2010,"Literary Collections, African",,
27,Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,1,9780869809181,$24.44,Paperback,University of Natal Press,February 1995,"Anthologies, Southern African History",136,"Basali! means 'women' and is one of the most common exclamations in the Sesotho language. Usually uttered by a woman and delivered with a laugh, a shaking of the head, or a clapping of hands, Basali! evokes Basotho women's admiration and wonderment for themselves and each other. These stories in 'Sesotho-ised' English reveal a way of life and a way of perceiving experience that is unique in African literature. The stories offer glimpses of traditional healers, circumcision schools, witches, bride-prices, and extended rural family life. There are families disrupted by migrant labour, women and men brutalised by apartheid, teenagers who violate tradition, and middle-class office-workers whose rural families live by a different click than the one that ticks for them. The focus of each story is the decisions women make, the actions they take to protect and to provide for themselves and their children, and to care for the people they love."
28,How God Fix Jonah,Lorenz Graham,1,9781563976988,$16.15,Hardcover,Boyds Mills Press,October 2000,"Bible - Stories, African Literature Anthologies",160," ""Utterly delightful"" is how Zora Neal Hurston described this classic book when it was first published in 1946. Long out of print, Lorenz Graham's beautiful collection of Bible stories, told in the idiom of West Africa, is available again in an expanded edition newly illustrated by Ashley Bryan.</p>"
29,Glass Jars among Trees,Arja Salafranca,1,9781919931234,$44.59,Paperback,Jacana Media,April 2005,African Literature Anthologies,188,"This genre-shattering anthology includes writings in a variety of styles by pensioners, prisoners, schoolchildren, drifting teenagers, praise-singers, and even a few poets.<br>"
30,Running Towards Us: New Writing from South Africa,Isabel Balseiro,1,9780325002118,$33.63,Paperback,Heinemann,May 2000,African Literature Anthologies,216,"In Running Towards Us, 31 contemporary authors offer literary responses to the end of apartheid, demonstrating what the creative imagination in South Africa has to offer at the turn of the 21st century."
31,Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,1,9780739105634,$27.95,Paperback,Lexington Books,December 2002,"Social Sciences, Women's Studies",,
32,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,1,9780814781449,,Paperback,New York University Press,February 2004,"Literary Criticism, American",,
33,Among the Blacks,Ron Padgett,1,9780939691029,$14.00,Paperback,Avenue B,October 1988,African Literature Anthologies,64,"<br>
Fiction. African American Studies. Translated from the French. AMONG THE BLACKS consists of two works: Ron Padgett's translation of Raymond Roussel's early story ""Parmi les noirs,"" first published in 1935 in his book Comment j'ai ecrit certain de mes livres, together with Padgett's memoir focusing upon his own experience among black people. Roussel's story, about a master mariner named White who encounters an African chief named Booltable, is built upon the kind of whimsical and extravagant word play (its first and last sentences are identical except for one letter in one word--""pooltable""/ ""Booltable"") for which Roussel was idolized by the French Surrealists. In contrast, as he writes in his Afterword, Padgett's memoir ""grew out of the nagging need to come to grips with the frustrations of being a white American who had grown up in a racist environment and who, despite his rejections of racism at an early age, had rarely felt unselfconscious in the company of a black person."" ""What he leaves us with is a work that is like the perfectly preserved temple of a cult which has disappeared without a trace, or a complicated set of tools whose use cannot be discovered. But even though we may never be able to 'use' [Roussel's] work in the way he hoped, we can still admire its inhuman beauty, and be stirred by a language that seems always on the point of revealing its secret, of pointing the way back to the 'republic of dreams' whose insignia blazed on his forehead""--John Ashbery."
34,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,1,9780446579223,$1.99,Hardcover,Grand Central Publishing,September 2010,Humor,244," The eagerly awaited new book from the Emmy-winning, Oscar-hosting, <b>Daily Show-</b>anchoring Jon Stewart—the man behind the megaseller <b>America (The Book)</b>.</p>
 Where do we come from? Who created us? Why are we here? These questions have puzzled us since the dawn of time, but when it became apparent to Jon Stewart and the writers of <b>The Daily Show</b> that the world was about to end, they embarked on a massive mission to write a book that summed up the human race: What we looked like; what we accomplished; our achievements in society, government, religion, science and culture — all in a tome of approximately 256 pages with lots of color photos, graphs and charts.</p>
 After two weeks of hard work, they had their book. EARTH (The Book) is the definitive guide to our species. With their trademark wit, irreverence, and intelligence, Stewart and his team will posthumously answer all of life's most hard-hitting questions, completely unburdened by objectivity, journalistic integrity, or even accuracy.</p>
 Also available as an ebook and as an audiobook.</p>"
35,The Best American Nonrequired Reading 2010,Dave Eggers,1,9780547241630,$11.17,Paperback,Houghton Mifflin Harcourt,October 2010,"American Literature Anthologies, Fiction Subjects",484," An&nbsp;eclectic volume introduced by David Sedaris and compiled by Dave Eggers and students of his San Francisco writing center, who don’t leave a stone unturned in their search for nonrequired gems.&nbsp;Cover art by art by Maurice Sendak.</p>"
36,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,1,9781607886150,$24.98,Compact Disc,Hachette Audio,October 2010,Literary Collections,,
37,100 Best-Loved Poems,Philip Smith,1,9780486285535,$1.80,Paperback,Dover Publications,May 1995,Poetry Anthologies,96,"Popular, well-known poetry: ""The Passionate Shepherd to His Love,"" ""Shall I compare thee to a summer's day?"" ""Death, be not proud,"" ""The Raven,"" ""The Road Not Taken,"" plus works by Blake, Wordsworth, Byron, Coleridge, Shelley, Emerson, Browning, Keats, Kipling, Sandburg, Pound, Auden, Thomas, and many others. Includes 13 selections from the Common Core State Standards Initiative."
38,"The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback",Wayne Franklin,1,9780393930573,$63.03,Paperback,"Norton, W. W. & Company, Inc.",July 2007,American Literature Anthologies,3008,"Under Nina Baym's direction, the editors have considered afresh each selection and the entire apparatus to make the Shorter Edition an even better teaching tool for the one-semester and brief two-semester courses.<br>"
39,The Best American Poetry 2009,David Wagoner,1,9781615521647,,Paperback,Simon & Schuster Adult Publishing Group,September 2009,,,
40,The Oxford Book of American Short Stories,Joyce Carol Oates,1,9780195092622,$19.95,Paperback,"Oxford University Press, USA",September 1994,"Biographies &amp; Autobiographies, General",,
41,The Best American Essays 2009,Mary Oliver,1,9780618982721,$13.56,Paperback,Houghton Mifflin Harcourt,October 2009,"American Essays, American Literature Anthologies",224," Edited by award-winning poet and essayist Mary Oliver, the latest edition of this ""rich and thoughtful collection"" (<i>Publishers Weekly</i>) offers the finest essays ""judiciously selected from countless publications"" (<i>Chicago Tribune</i>).</p>"
42,"The Norton Anthology of American Literature, Package 2: Volumes C, D, and E",Jerome Klinkowitz,1,9780393929942,$20.00,Paperback,"Norton, W. W. & Company, Inc.",April 2007,American Literature Anthologies,2870," <b>Firmly grounded in the core strengths that have made it the best-selling undergraduate survey in the field,</b> The Norton Anthology of American Literature has been revitalized in this Seventh Edition through the collaboration between three new period editors and five seasoned ones.</p>
 Under Nina Baym’s direction, the editors have considered afresh each selection and all the apparatus to make the anthology an even better teaching tool.</p>"
43,Early African American Classics (Barnes &amp; Noble Classics Series),Barnes &amp; Noble,1,9781400500284,$24.95,Paperback,Barnes & Noble,October 2008,"Slavery - Social Sciences, Peoples & Cultures - American Anthologies, American Fiction & Literature Classics, Slave Narratives & Biographies",,"Culled from the annals of early African American history, these personal narratives recount the stories of men and women who survived the cruel injustice of slavery to become prominent leaders in the struggle for freedom and equality."
44,"African-American Poetry: An Anthology, 1773-1930",Joan R. Sherman,1,9780486296043,$1.80,Paperback,Dover Publications,July 1997,"Poetry Anthologies, American Poetry, African Americans - Fiction & Literature, American Literature Anthologies",96,"Rich selection of 74 poems ranging from the religious and moral verse of Phillis Wheatley Peters (ca. 1753–1784) to 20th-century work of Langston Hughes and Countee Cullen. Other contributors include James Weldon Johnson, Paul Laurence Dunbar, many others. Indispensable for students of the black experience in America and any lover of fine poetry. Includes 4 selections from the Common Core State Standards Initiative."
45,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Wally Lamb,1,9780060595371,$10.59,Paperback,HarperCollins Publishers,February 2004,"American Literature Anthologies, Penology & Correctional Studies, True Crime",368," In a stunning work of insight and hope, <em>New York Times</em> bestselling author Wally Lamb once again reveals his unmatched talent for finding humanity in the lost and lonely and celebrates the transforming power of the written word.</p>
 For several years, Lamb has taught writing to a group of women prisoners at York Correctional Institution in Connecticut. In this unforgettable collection, the women of York describe in their own words how they were imprisoned by abuse, rejection, and their own self-destructive impulses long before they entered the criminal justice system. Yet these are powerful stories of hope and healing, told by writers who have left victimhood behind.</p>
 In his moving introduction, Lamb describes the incredible journey of expression and self-awareness the women took through their writing and shares how they challenged him as a teacher and as a fellow author. <em>Couldn't Keep It to Myself</em> is a true testament to the process of finding oneself and working toward a better day.</p>"
46,"The Norton Anthology of Poetry, Shorter 5th Edition",Margaret Ferguson,1,9780393979213,$58.69,Paperback,"Norton, W. W. & Company, Inc.",December 2004,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",1424," <b>Offering over one thousand years of verse from the medieval period to the present,</b> The Norton Anthology of Poetry is the classroom standard for the study of poetry in English.</p>
 The Fifth Edition retains the flexibility and breadth of selection that has defined this classic anthology, while improved and expanded editorial apparatus make it an even more useful teaching tool.</p>"
47,The Best American Poetry 2010,Amy Gerstler,1,9781439181454,$13.87,Paperback,Simon & Schuster Adult Publishing Group,September 2010,"Poetry Anthologies, American Poetry, American Literature Anthologies",229," AMY GERSTLER’S COMMITMENT TO INNOVATIVE POETRY that conveys meaning, feeling, wit, and humor informs the cross section of poems in the 2010 edition of <i>The Best American Poetry.</i> The works collected here represent the wealth, the breadth, and the tremendous energy of poetry in the United States today. Featuring poems from some of our country’s top bards, including John Ashbery, Anne Carson, Louise Glück, Sharon Olds, and Charles Simic, <i>The Best American Poetry 2010</i> also presents poems that poignantly capture the current moment, such as the sonnets John Updike wrote to chronicle his dying weeks. And there are exciting poems from a constellation of rising stars: Bob Hicok, Terrance Hayes, Denise Duhamel, Dean Young, and Elaine Equi, to name a very few.</p>
 The anthology’s mainstays are in place: It opens with series editor David Lehman’s incisive foreword about the state of American poetry and has a marvelous introduction by Amy Gerstler. Notes from the poets, illuminating their poems and their writing processes, conclude this delightful addition to a classic series.</p>
 Dick Allen • John Ashbery • Sandra Beasley • Mark Bibbins • Todd Boss • Fleda Brown • Anne Carson • Tom Clark • David Clewell • Michael Collier • Billy Collins • Dennis Cooper • Kate Daniels • Peter Davis • Tim Dlugos • Denise Duhamel • Thomas Sayers Ellis • Lynn Emanuel • Elaine Equi • Jill Alexander Essbaum • B. H. Fairchild • Vievee Francis • Louise Glück • Albert Goldbarth • Amy Glynn Greacen • Sonia Greenfield • Kelle Groom • Gabriel Gudding • Kimiko Hahn • Barbara Hamby • Terrance Hayes • Bob Hicok • Rodney Jones • Michaela Kahn • Brigit Pegeen Kelly • Corinne Lee • Hailey Leithauser • Dolly Lemke • Maurice Manning • Adrian Matejka • Shane McCrae • Jeffrey McDaniel • W. S. Merwin • Sarah Murphy • Eileen Myles • Camille Norton • Alice Notley • Sharon Olds • Gregory Pardlo • Lucia Perillo • Carl Phillips • Adrienne Rich • James Richardson • J. Allyn Rosser • James Schuyler • Tim Seibles • David Shapiro • Charles Simic • Frank Stanford • Gerald Stern • Stephen Campbell Sutherland • James Tate • David Trinidad • Chase Twichell • John Updike • Derek Walcott • G. C. Waldrep • J. E. Wei • Dara Wier • Terence Winch • Catherine Wing • Mark Wunderlich • Matthew Yeager • Dean Young • Kevin Young</p>"
48,"Classic Slave Narratives: The Life of Olaudah Equiano, The History of Mary Prince, Narrative of the Life of Frederick Douglass, Incidents in the Life of a Slave Girl",Henry Louis Gates Jr.,1,9780451528247,$1.99,Mass Market Paperback,Penguin Group (USA),January 2002,"Slavery - Social Sciences, Slave Narratives & Biographies, Historical Figures - Women's Biography, African American Women's Biography, African American Political & Historical Biography",688," No group of slaves anywhere, in any era, has left such prolific testimony to the horror of bondage as African-American slaves. Here are four of the most notable narratives: <i>The Life of Olaudah Equiano; The History of Mary Prince; Narrative of the Life of Frederick Douglass;</i> and <i>Incidents in the Life of Slave Girl</i>.</p>


                         Along with the writings of Frederick Douglas and Olaudah Equiano, this anthology includes the writings of women slaves Harriet Jacobs and Mary Prince.
</p>"
49,The Best American Nonrequired Reading 2009,Dave Eggers,1,9780547241609,$14.39,Paperback,Houghton Mifflin Harcourt,October 2009,"Short Story Anthologies, American Literature Anthologies",432," This ""great volume"" highlights the ""very best of this year's fiction, nonfiction, alternative comics, screenplys, blogs and more"" (<i>OK!).</i> Compiled by Dave Eggers and students from his San Francisco writing center, it is ""both uproarious and illuminating"" (<i>Publishers Weekly).</i></p>"
52,The Best Loved Poems of the American People,Hazel Felleman,1,9780385000192,$17.92,Hardcover,Knopf Doubleday Publishing Group,October 1936,"Poetry Anthologies, American Poetry, Poetry - General & Miscellaneous, American Literature Anthologies",670,"More than 1,500,000 copies in print! Over 575&nbsp;&nbsp;traditional favorites to be read and reread.&nbsp;&nbsp;Categorized by theme, and indexed by author and first&nbsp;&nbsp;line, this is a collection that will be treasured."
53,The Norton Anthology of American Literature: Volume A: Beginnings to 1820,Wayne Franklin,1,9780393927399,$37.77,Paperback,"Norton, W. W. & Company, Inc.",April 2007,American Literature Anthologies,972," <b>Firmly grounded in the core strengths that have made it the best-selling undergraduate survey in the field,</b> The Norton Anthology of American Literature has been revitalized in this Seventh Edition through the collaboration between three new period editors and five seasoned ones.</p>
 Under Nina Baym’s direction, the editors have considered afresh each selection and all the apparatus to make the anthology an even better teaching tool.</p>"
